finnish;english;russian;type;group
oikeus, oikeuden;right;право;noun;Basics
onkia (1), ongin;to fish (with rod);ловить рыбу;verb;Leisure
orava, -n;squirrel;белка;noun;Nature
ottaa (1), otan kiinni;to catch;поймать;verb;Actions & Movement
pelottaa (1), minua pelottaa;to be afraid;бояться;verb;Feelings & Opinions
pelto, pellon;field;поле;noun;Nature
peruste, perusteen;basis;основание;noun;Basics
peseytyä (1), peseydytään;to wash oneself;мыться;verb;Health
piilo, -n;hide-and-seek;прятки;noun;Leisure
piirtää (1), piirrän;to draw;рисовать;verb;Leisure
pikkupoika, -pojan;little boy;мальчик;noun;People
poimia (1), poimin;to pick;собирать;verb;Actions & Movement
päästä;to get (to);добраться;verb;Actions & Movement
rauha, -n;peace;мир;noun;Feelings & Opinions
rauta, raudan;iron;железо;noun;Media & Technology
rautakauppa, -kaupan;hardware store;строительный магазин;noun;Places
rento, rennon;relaxed;расслабленный;adjective;Feelings & Opinions
rentoutua (1), rentoudun;to relax;расслабляться;verb;Feelings & Opinions
rikkoa (1), rikon;to break;ломать;verb;Actions & Movement
romu, -n;scrap;хлам;noun;Media & Technology
roskata (4), roskaan;to litter;мусорить;verb;Actions & Movement
ruuhka, -n;traffic jam;пробка;noun;Transport
sahata (4), sahaan;to saw;пилить;verb;Actions & Movement
sanomalehti, -lehden;newspaper;газета;noun;Media & Technology
siirtää (1), siirrän;to move;перемещать;verb;Actions & Movement
stressaava, -n;stressful;стрессовый;adjective;Feelings & Opinions
susi, suden;wolf;волк;noun;Nature
sähkölaite, -laitteen;electrical device;электроприбор;noun;Media & Technology
säveltää (1), sävellän;to compose (music);сочинять;verb;Leisure
takuu, -n;guarantee;гарантия;noun;Work & Study
tapahtuma, -n;event;событие;noun;Leisure
tarkistus, tarkistuksen;inspection;проверка;noun;Work & Study
terassi, -n;terrace;терраса;noun;Home
tikkaat;ladders;лестница;noun (plural);Media & Technology
tilapäinen, tilapäisen;temporary;временный;adjective;Basics
tiskata (4), tiskaan;to do dishes;мыть посуду;verb;Home
tuli, tulen;fire;огонь;noun;Nature
tuliaiset;souvenirs;гостинцы;noun (plural);Leisure
työmatka, -n;commute;дорога на работу;noun;Work & Study
täynnä;full;полный;adjective;Basics
uudestaan;again;снова;adverb;Time
vahingoittaa (1), vahingoitan;to damage;повреждать;verb;Actions & Movement
valkoviini, -n;white wine;белое вино;noun;Food & Drink
varustettu, varustetun;equipped;оборудованный;adjective;Basics
vene, veneen;boat;лодка;noun;Transport
veneillä (3), veneilen;to go boating;кататься на лодке;verb;Leisure
vesisota, -sodan;water fight;водяная битва;noun;Leisure
ympäristö, -n;environment;окружающая среда;noun;Nature
ympäristöministeriö, -n;ministry of environment;министерство экологии;noun;Basics
yöpyä (1), yövyn;to stay overnight;ночевать;verb;Actions & Movement
aika = melko;quite;довольно;adverb;Basics
hevi;heavy metal;хэви-метал;noun;Leisure
ilma;weather;погода;noun;Nature
matsi;match;матч;noun;Leisure
moikata (4), moikkaan;to say hi;поприветствовать;verb;Communication
pari;couple / about two;пара;noun;Basics
rosvo;robber;грабитель;noun;People
G + aikana;during;во время;postposition;Grammar
alkometri, -n;breathalyzer;алкотестер;noun;Health
alue, alueen;area;район, территория;noun;Places
ambulanssi, -n;ambulance;скорая помощь;noun;Health
ei kukaan, ei kenenkään;nobody;никто;pronoun phrase;Grammar
erinomainen, erinomaisen;excellent;отличный;adjective;Basics
haistaa (1), haistan;to smell;чувствовать запах;verb;Communication
henkilöauto, -n;passenger car;легковой автомобиль;noun;Transport
hälyttää (1), hälytän;to alert;вызывать (службы);verb;Health
jatkaa (1), jatkan;to continue;продолжать;verb;Actions & Movement
jos;if;если;conjunction;Grammar
kahvinkeitin, -keittimen;coffee maker;кофеварка;noun;Home
keskussairaala, -n;central hospital;центральная больница;noun;Health
korvaus, korvauksen;compensation;компенсация;noun;Shopping & Services
kotitehtävä, -n;homework;домашнее задание;noun;Work & Study
kovin, ei kovin;very / not very;очень / не очень;adverb;Basics
kun;when;когда;conjunction;Grammar
kutsua (1), kutsun paikalle;to call (someone over);вызвать;verb;Communication
käskeä (1), käsken;to order;приказывать;verb;Communication
lainata (4), lainaan;to borrow;брать взаймы;verb;Shopping & Services
nolievä, -n;mild;лёгкий;adjective;Health
liikenne, liikenteen;traffic;движение;noun;Transport
lompakko, lompakon;wallet;кошелёк;noun;Media & Technology
lopulta;finally;в конце концов;adverb;Time
loukkaantua (1), loukkaannun;to get injured;получить травму;verb;Health
moottoritie, -n;motorway;автомагистраль;noun;Transport
murtua (1), murrun;to break (bone);сломаться;verb;Health
ohjata (4), ohjaan;to direct;направлять;verb;Actions & Movement
oja, -n;ditch;канава;noun;Nature
onnellinen, onnellisen;happy;счастливый;adjective;Feelings & Opinions
onnettomuus, onnettomuuden;accident;авария;noun;Health
osa, -n;part;часть;noun;Basics
ottaa (1), otan yhteyttä;to contact;связаться;verb phrase;Communication
palo, -n;fire;пожар;noun;Health
palokunta, -kunnan;fire brigade;пожарная служба;noun;Health
palomies, -miehen;firefighter;пожарный;noun;Work & Study
palovaroitin, -varoittimen;smoke detector;пожарный извещатель;noun;Health
peli, -n;game;игра;noun;Leisure
poro, -n;reindeer;северный олень;noun;Nature
puhaltaa (1), puhallan;to blow;дуть;verb;Actions & Movement
risteys, risteyksen;intersection;перекрёсток;noun;Transport
saari, saaren;island;остров;noun;Nature
salama, -n;lightning;молния;noun;Nature
sammuttaa (1), sammutan;to extinguish;тушить;verb;Health
savu, -n;smoke;дым;noun;Health
selittää (1), selitän;to explain;объяснять;verb;Communication
sinne;there;туда;adverb;Places
sulkea (1), suljen;to close;закрывать;verb;Actions & Movement
syttyä (1), sytyn;to catch fire;загореться;verb;Health
sytyttää (1), sytytän;to ignite;поджигать;verb;Health
tajuton, tajuttoman;unconscious;без сознания;adjective;Health
terve, terveen;healthy;здоровый;adjective;Health
tilanne, tilanteen;situation;ситуация;noun;Basics
tuho, -n;destruction;разрушение;noun;Health
tuhota (4), tuhoan;to destroy;уничтожать;verb;Actions & Movement
tulipalo, -n;fire (incident);пожар;noun;Health
turvallinen, turvallisen;safe;безопасный;adjective;Health
tyytyväinen, tyytyväisen;satisfied;довольный;adjective;Feelings & Opinions
urheilu, -n;sport;спорт;noun;Leisure
uutinen, uutisen;news;новость;noun;Media & Technology
vaatimus, vaatimuksen;demand;требование;noun;Communication
vahinko, vahingon;damage / accident;ущерб;noun;Health
vaihtua (1);to change;меняться;verb;Actions & Movement
vaikeuttaa (1), vaikeutan;to make difficult;усложнять;verb;Actions & Movement
valitus, valituksen;complaint;жалоба;noun;Communication
vamma, -n;injury;травма;noun;Health
varastaa (1), varastan;to steal;воровать;verb;Actions & Movement
vastaus, vastauksen;answer;ответ;noun;Communication
vesihana, -n;water tap;кран;noun;Home
voimakas, voimakkaan;strong;сильный;adjective;Basics
voittaa (1), voitan;to win;побеждать;verb;Leisure
kolari, -n;traffic accident;ДТП;noun;Transport
treffit, treffien;date / meeting;свидание, встреча;noun (plural);Family & Relationships
